,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
38,2015,1,Aguascalientes,1001,Aguascalientes,Otros delitos que atentan contra la libertad y la seguridad sexual,16,12,14,17,19,26,21.0,15.0,13.0,19.0,15.0,14.0
136,2015,1,Aguascalientes,1002,Asientos,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0
234,2015,1,Aguascalientes,1003,Calvillo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
332,2015,1,Aguascalientes,1004,Cosío,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0
430,2015,1,Aguascalientes,1005,Jesús María,Otros delitos que atentan contra la libertad y la seguridad sexual,1,1,1,0,5,0,1.0,3.0,1.0,0.0,1.0,0.0
528,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0
626,2015,1,Aguascalientes,1007,Rincón de Romos,Otros delitos que atentan contra la libertad y la seguridad sexual,1,1,2,1,2,1,1.0,0.0,0.0,0.0,0.0,0.0
724,2015,1,Aguascalientes,1008,San José de Gracia,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,2,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
822,2015,1,Aguascalientes,1009,Tepezalá,Otros delitos que atentan contra la libertad y la seguridad sexual,1,1,0,0,0,2,0.0,1.0,0.0,0.0,0.0,1.0
920,2015,1,Aguascalientes,1010,El Llano,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1018,2015,1,Aguascalientes,1011,San Francisco de los Romo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
1116,2015,2,Baja California,2001,Ensenada,Otros delitos que atentan contra la libertad y la seguridad sexual,3,2,4,3,2,5,3.0,4.0,4.0,7.0,5.0,1.0
1214,2015,2,Baja California,2002,Mexicali,Otros delitos que atentan contra la libertad y la seguridad sexual,5,4,5,4,7,9,7.0,11.0,10.0,4.0,4.0,1.0
1312,2015,2,Baja California,2003,Tecate,Otros delitos que atentan contra la libertad y la seguridad sexual,0,3,3,1,0,2,0.0,1.0,0.0,0.0,0.0,0.0
1410,2015,2,Baja California,2004,Tijuana,Otros delitos que atentan contra la libertad y la seguridad sexual,15,18,14,15,16,10,19.0,9.0,22.0,18.0,14.0,7.0
1508,2015,2,Baja California,2005,Playas de Rosarito,Otros delitos que atentan contra la libertad y la seguridad sexual,2,0,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1606,2015,3,Baja California Sur,3001,Comondú,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,1,0,1,0,0.0,2.0,0.0,1.0,0.0,0.0
1704,2015,3,Baja California Sur,3002,Mulegé,Otros delitos que atentan contra la libertad y la seguridad sexual,2,4,0,0,2,0,2.0,0.0,1.0,0.0,1.0,0.0
1802,2015,3,Baja California Sur,3003,La Paz,Otros delitos que atentan contra la libertad y la seguridad sexual,3,6,4,2,1,0,2.0,0.0,0.0,0.0,1.0,0.0
1900,2015,3,Baja California Sur,3008,Los Cabos,Otros delitos que atentan contra la libertad y la seguridad sexual,4,3,5,2,1,1,3.0,3.0,2.0,1.0,2.0,3.0
1998,2015,3,Baja California Sur,3009,Loreto,Otros delitos que atentan contra la libertad y la seguridad sexual,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2096,2015,4,Campeche,4001,Calkiní,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2194,2015,4,Campeche,4002,Campeche,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2292,2015,4,Campeche,4003,Carmen,Otros delitos que atentan contra la libertad y la seguridad sexual,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
2390,2015,4,Campeche,4004,Champotón,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2488,2015,4,Campeche,4005,Hecelchakán,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
2586,2015,4,Campeche,4006,Hopelchén,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2684,2015,4,Campeche,4007,Palizada,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2782,2015,4,Campeche,4008,Tenabo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2880,2015,4,Campeche,4009,Escárcega,Otros delitos que atentan contra la libertad y la seguridad sexual,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2978,2015,4,Campeche,4010,Calakmul,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3076,2015,4,Campeche,4011,Candelaria,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
3174,2015,5,Coahuila de Zaragoza,5001,Abasolo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3272,2015,5,Coahuila de Zaragoza,5002,Acuña,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,1,0,1,1,1.0,2.0,0.0,0.0,0.0,1.0
3370,2015,5,Coahuila de Zaragoza,5003,Allende,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3468,2015,5,Coahuila de Zaragoza,5004,Arteaga,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3566,2015,5,Coahuila de Zaragoza,5005,Candela,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3664,2015,5,Coahuila de Zaragoza,5006,Castaños,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3762,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3860,2015,5,Coahuila de Zaragoza,5008,Escobedo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3958,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
4056,2015,5,Coahuila de Zaragoza,5010,Frontera,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4154,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4252,2015,5,Coahuila de Zaragoza,5012,Guerrero,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4350,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4448,2015,5,Coahuila de Zaragoza,5014,Jiménez,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4546,2015,5,Coahuila de Zaragoza,5015,Juárez,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4644,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4742,2015,5,Coahuila de Zaragoza,5017,Matamoros,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4840,2015,5,Coahuila de Zaragoza,5018,Monclova,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,1,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0
4938,2015,5,Coahuila de Zaragoza,5019,Morelos,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5036,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5134,2015,5,Coahuila de Zaragoza,5021,Nadadores,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5232,2015,5,Coahuila de Zaragoza,5022,Nava,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5330,2015,5,Coahuila de Zaragoza,5023,Ocampo,Otros delitos que atentan contra la libertad y la seguridad sexual,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
